#,Name,Japanese_Name,Type 1,Type 2,Total,HP,Attack,Speed,Defense,Happiness,Sp. Atk,Sp. Def,Legendary,Generation,Classfication,Capture_Rate,Egg_Steps,Experience_Growth,Height_M,Weight_Kg,Percentage_Male,Abilities
19,Rattata,Korattaコラッタ,Normal,,253,30,56,72,35,70,25,35,FALSE,1,Mouse Pokémon,255,3840,1000000,,,50,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']"
20,Raticate,Rattaラッタ,Normal,,413,55,81,97,60,70,50,70,FALSE,1,Mouse Pokémon,127,3840,1000000,,,50,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']"
21,Spearow,Onisuzumeオニスズメ,Normal,Flying,262,40,60,70,30,70,31,31,FALSE,1,Tiny Bird Pokémon,255,3840,1000000,0.3,2,50,"['Keen Eye', 'Sniper']"
22,Fearow,Onidrillオニドリル,Normal,Flying,442,65,90,100,65,70,61,61,FALSE,1,Beak Pokémon,90,3840,1000000,1.2,38,50,"['Keen Eye', 'Sniper']"
23,Ekans,Arboアーボ,Poison,,288,35,60,55,44,70,40,54,FALSE,1,Snake Pokémon,255,5120,1000000,2,6.9,50,"['Intimidate', 'Shed Skin', 'Unnerve']"
24,Arbok,Arbokアーボック,Poison,,438,60,85,80,69,70,65,79,FALSE,1,Cobra Pokémon,90,5120,1000000,3.5,65,50,"['Intimidate', 'Shed Skin', 'Unnerve']"
25,Pikachu,Pikachuピカチュウ,Electric,,320,35,55,90,40,70,50,50,FALSE,1,Mouse Pokémon,190,2560,1000000,0.4,6,50,"['Static', 'Lightningrod']"
26,Raichu,Raichuライチュウ,Electric,,485,60,90,110,55,70,90,80,FALSE,1,Mouse Pokémon,75,2560,1000000,,,50,"['Static', 'Lightningrod', 'Surge Surfer']"
27,Sandshrew,Sandサンド,Ground,,300,50,75,40,85,70,20,30,FALSE,1,Mouse Pokémon,255,5120,1000000,,,50,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']"
28,Sandslash,Sandpanサンドパン,Ground,,450,75,100,65,110,70,45,55,FALSE,1,Mouse Pokémon,90,5120,1000000,,,50,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']"
29,Nidoran♀,Nidoran?ニドラン♀,Poison,,275,55,47,41,52,70,40,40,FALSE,1,Poison Pin Pokémon,235,5120,1059860,0.4,7,0,"['Poison Point', 'Rivalry', 'Hustle']"
30,Nidorina,Nidorinaニドリーナ,Poison,,365,70,62,56,67,70,55,55,FALSE,1,Poison Pin Pokémon,120,5120,1059860,0.8,20,0,"['Poison Point', 'Rivalry', 'Hustle']"
31,Nidoqueen,Nidoqueenニドクイン,Poison,Ground,505,90,92,76,87,70,75,85,FALSE,1,Drill Pokémon,45,5120,1059860,1.3,60,0,"['Poison Point', 'Rivalry', 'Sheer Force']"
32,Nidoran♂,Nidoran?ニドラン♂,Poison,,273,46,57,50,40,70,40,40,FALSE,1,Poison Pin Pokémon,235,5120,1059860,0.5,9,100,"['Poison Point', 'Rivalry', 'Hustle']"
33,Nidorino,Nidorinoニドリーノ,Poison,,365,61,72,65,57,70,55,55,FALSE,1,Poison Pin Pokémon,120,5120,1059860,0.9,19.5,100,"['Poison Point', 'Rivalry', 'Hustle']"
34,Nidoking,Nidokingニドキング,Poison,Ground,505,81,102,85,77,70,85,75,FALSE,1,Drill Pokémon,45,5120,1059860,1.4,62,100,"['Poison Point', 'Rivalry', 'Sheer Force']"
35,Clefairy,Pippiピッピ,Fairy,,323,70,45,35,48,140,60,65,FALSE,1,Fairy Pokémon,150,2560,800000,0.6,7.5,24.6,"['Cute Charm', 'Magic Guard', 'Friend Guard']"
36,Clefable,Pixyピクシー,Fairy,,483,95,70,60,73,140,95,90,FALSE,1,Fairy Pokémon,25,2560,800000,1.3,40,24.6,"['Cute Charm', 'Magic Guard', 'Unaware']"
37,Vulpix,Rokonロコン,Fire,,299,38,41,65,40,70,50,65,FALSE,1,Fox Pokémon,190,5120,1000000,,,24.6,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']"
38,Ninetales,Kyukonキュウコン,Fire,,505,73,76,100,75,70,81,100,FALSE,1,Fox Pokémon,75,5120,1000000,,,24.6,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']"
39,Jigglypuff,Purinプリン,Normal,Fairy,270,115,45,20,20,70,45,25,FALSE,1,Balloon Pokémon,170,2560,800000,0.5,5.5,24.6,"['Cute Charm', 'Competitive', 'Friend Guard']"
40,Wigglytuff,Pukurinプクリン,Normal,Fairy,435,140,70,45,45,70,85,50,FALSE,1,Balloon Pokémon,50,2560,800000,1,12,24.6,"['Cute Charm', 'Competitive', 'Frisk']"
41,Zubat,Zubatズバット,Poison,Flying,245,40,45,55,35,70,30,40,FALSE,1,Bat Pokémon,255,3840,1000000,0.8,7.5,50,"['Inner Focus', 'Infiltrator']"
42,Golbat,Golbatゴルバット,Poison,Flying,455,75,80,90,70,70,65,75,FALSE,1,Bat Pokémon,90,3840,1000000,1.6,55,50,"['Inner Focus', 'Infiltrator']"
43,Oddish,Nazonokusaナゾノクサ,Grass,Poison,320,45,50,30,55,70,75,65,FALSE,1,Weed Pokémon,255,5120,1059860,0.5,5.4,50,"['Chlorophyll', 'Run Away']"
44,Gloom,Kusaihanaクサイハナ,Grass,Poison,395,60,65,40,70,70,85,75,FALSE,1,Weed Pokémon,120,5120,1059860,0.8,8.6,50,"['Chlorophyll', 'Stench']"
45,Vileplume,Ruffresiaラフレシア,Grass,Poison,490,75,80,50,85,70,110,90,FALSE,1,Flower Pokémon,45,5120,1059860,1.2,18.6,50,"['Chlorophyll', 'Effect Spore']"
46,Paras,Parasパラス,Bug,Grass,285,35,70,25,55,70,45,55,FALSE,1,Mushroom Pokémon,190,5120,1000000,0.3,5.4,50,"['Effect Spore', 'Dry Skin', 'Damp']"
47,Parasect,Parasectパラセクト,Bug,Grass,405,60,95,30,80,70,60,80,FALSE,1,Mushroom Pokémon,75,5120,1000000,1,29.5,50,"['Effect Spore', 'Dry Skin', 'Damp']"
48,Venonat,Kongpangコンパン,Bug,Poison,305,60,55,45,50,70,40,55,FALSE,1,Insect Pokémon,190,5120,1000000,1,30,50,"['Compoundeyes', 'Tinted Lens', 'Run Away']"
49,Venomoth,Morphonモルフォン,Bug,Poison,450,70,65,90,60,70,90,75,FALSE,1,Poison Moth Pokémon,75,5120,1000000,1.5,12.5,50,"['Shield Dust', 'Tinted Lens', 'Wonder Skin ']"
50,Diglett,Digdaディグダ,Ground,,265,10,55,95,25,70,35,45,FALSE,1,Mole Pokémon,255,5120,1000000,,,50,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']"
51,Dugtrio,Dugtrioダグトリオ,Ground,,405,35,80,120,50,70,50,70,FALSE,1,Mole Pokémon,50,5120,1000000,,,50,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']"
52,Meowth,Nyarthニャース,Normal,,290,40,45,90,35,70,40,40,FALSE,1,Scratch Cat Pokémon,255,5120,1000000,,,50,"['Pickup', 'Technician', 'Unnerve', 'Pickup', 'Technician', 'Rattled']"
53,Persian,Persianペルシアン,Normal,,440,65,70,115,60,70,65,65,FALSE,1,Classy Cat Pokémon,90,5120,1000000,,,50,"['Limber', 'Technician', 'Unnerve', 'Fur Coat', 'Technician', 'Rattled']"
54,Psyduck,Koduckコダック,Water,,320,50,52,55,48,70,65,50,FALSE,1,Duck Pokémon,190,5120,1000000,0.8,19.6,50,"['Damp', 'Cloud Nine', 'Swift Swim']"
55,Golduck,Golduckゴルダック,Water,,500,80,82,85,78,70,95,80,FALSE,1,Duck Pokémon,75,5120,1000000,1.7,76.6,50,"['Damp', 'Cloud Nine', 'Swift Swim']"
56,Mankey,Mankeyマンキー,Fighting,,305,40,80,70,35,70,35,45,FALSE,1,Pig Monkey Pokémon,190,5120,1000000,0.5,28,50,"['Vital Spirit', 'Anger Point', 'Defiant']"
57,Primeape,Okorizaruオコリザル,Fighting,,455,65,105,95,60,70,60,70,FALSE,1,Pig Monkey Pokémon,75,5120,1000000,1,32,50,"['Vital Spirit', 'Anger Point', 'Defiant']"
58,Growlithe,Gardieガーディ,Fire,,350,55,70,60,45,70,70,50,FALSE,1,Puppy Pokémon,190,5120,1250000,0.7,19,75.4,"['Intimidate', 'Flash Fire', 'Justified']"
59,Arcanine,Windieウインディ,Fire,,555,90,110,95,80,70,100,80,FALSE,1,Legendary Pokémon,75,5120,1250000,1.9,155,75.4,"['Intimidate', 'Flash Fire', 'Justified']"
60,Poliwag,Nyoromoニョロモ,Water,,300,40,50,90,40,70,40,40,FALSE,1,Tadpole Pokémon,255,5120,1059860,0.6,12.4,50,"['Water Absorb', 'Damp', 'Swift Swim']"
61,Poliwhirl,Nyorozoニョロゾ,Water,,385,65,65,90,65,70,50,50,FALSE,1,Tadpole Pokémon,120,5120,1059860,1,20,50,"['Water Absorb', 'Damp', 'Swift Swim']"
62,Poliwrath,Nyorobonニョロボン,Water,Fighting,510,90,95,70,95,70,70,90,FALSE,1,Tadpole Pokémon,45,5120,1059860,1.3,54,50,"['Water Absorb', 'Damp', 'Swift Swim']"
63,Abra,Caseyケーシィ,Psychic,,310,25,20,90,15,70,105,55,FALSE,1,Psi Pokémon,200,5120,1059860,0.9,19.5,75.4,"['Synchronize', 'Inner Focus', 'Magic Guard']"
64,Kadabra,Yungererユンゲラー,Psychic,,400,40,35,105,30,70,120,70,FALSE,1,Psi Pokémon,100,5120,1059860,1.3,56.5,75.4,"['Synchronize', 'Inner Focus', 'Magic Guard']"
65,Alakazam,Foodinフーディン,Psychic,,500,55,50,120,45,70,135,95,FALSE,1,Psi Pokémon,50,5120,1059860,1.5,48,75.4,"['Synchronize', 'Inner Focus', 'Magic Guard']"
66,Machop,Wanrikyワンリキー,Fighting,,305,70,80,35,50,70,35,35,FALSE,1,Superpower Pokémon,180,5120,1059860,0.8,19.5,75.4,"['Guts', 'No Guard', 'Steadfast']"
67,Machoke,Gorikyゴーリキー,Fighting,,405,80,100,45,70,70,50,60,FALSE,1,Superpower Pokémon,90,5120,1059860,1.5,70.5,75.4,"['Guts', 'No Guard', 'Steadfast']"
68,Machamp,Kairikyカイリキー,Fighting,,505,90,130,55,80,70,65,85,FALSE,1,Superpower Pokémon,45,5120,1059860,1.6,130,75.4,"['Guts', 'No Guard', 'Steadfast']"
69,Bellsprout,Madatsubomiマダツボミ,Grass,Poison,300,50,75,40,35,70,70,30,FALSE,1,Flower Pokémon,255,5120,1059860,0.7,4,50,"['Chlorophyll', 'Gluttony']"
70,Weepinbell,Utsudonウツドン,Grass,Poison,390,65,90,55,50,70,85,45,FALSE,1,Flycatcher Pokémon,120,5120,1059860,1,6.4,50,"['Chlorophyll', 'Gluttony']"
71,Victreebel,Utsubotウツボット,Grass,Poison,490,80,105,70,65,70,100,70,FALSE,1,Flycatcher Pokémon,45,5120,1059860,1.7,15.5,50,"['Chlorophyll', 'Gluttony']"
72,Tentacool,Menokurageメノクラゲ,Water,Poison,335,40,40,70,35,70,50,100,FALSE,1,Jellyfish Pokémon,190,5120,1250000,0.9,45.5,50,"['Clear Body', 'Liquid Ooze', 'Rain Dish']"
73,Tentacruel,Dokukurageドククラゲ,Water,Poison,515,80,70,100,65,70,80,120,FALSE,1,Jellyfish Pokémon,60,5120,1250000,1.6,55,50,"['Clear Body', 'Liquid Ooze', 'Rain Dish']"
74,Geodude,Isitsubuteイシツブテ,Rock,Ground,300,40,80,20,100,70,30,30,FALSE,1,Rock Pokémon,255,3840,1059860,,,50,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']"
75,Graveler,Goloneゴローン,Rock,Ground,390,55,95,35,115,70,45,45,FALSE,1,Rock Pokémon,120,3840,1059860,,,50,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']"
76,Golem,Golonyaゴローニャ,Rock,Ground,495,80,120,45,130,70,55,65,FALSE,1,Megaton Pokémon,45,3840,1059860,,,50,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']"
77,Ponyta,Ponytaポニータ,Fire,,410,50,85,90,55,70,65,65,FALSE,1,Fire Horse Pokémon,190,5120,1000000,1,30,50,"['Run Away', 'Flash Fire', 'Flame Body']"
78,Rapidash,Gallopギャロップ,Fire,,500,65,100,105,70,70,80,80,FALSE,1,Fire Horse Pokémon,60,5120,1000000,1.7,95,50,"['Run Away', 'Flash Fire', 'Flame Body']"
79,Slowpoke,Yadonヤドン,Water,Psychic,315,90,65,15,65,70,40,40,FALSE,1,Dopey Pokémon,190,5120,1000000,1.2,36,50,"['Oblivious', 'Own Tempo', 'Regenerator']"
80,Slowbro,Yadoranヤドラン,Water,Psychic,490,95,75,30,110,70,100,80,FALSE,1,Hermit Crab Pokémon,75,5120,1000000,1.6,78.5,50,"['Oblivious', 'Own Tempo', 'Regenerator']"
81,Magnemite,Coilコイル,Electric,Steel,325,25,35,45,70,70,95,55,FALSE,1,Magnet Pokémon,190,5120,1000000,0.3,6,,"['Magnet Pull', 'Sturdy', 'Analytic']"
82,Magneton,Rarecoilレアコイル,Electric,Steel,465,50,60,70,95,70,120,70,FALSE,1,Magnet Pokémon,60,5120,1000000,1,60,,"['Magnet Pull', 'Sturdy', 'Analytic']"
83,Farfetch'd,Kamonegiカモネギ,Normal,Flying,352,52,65,60,55,70,58,62,FALSE,1,Wild Duck Pokémon,45,5120,1000000,0.8,15,50,"['Keen Eye', 'Inner Focus', 'Defiant']"
84,Doduo,Dodoドードー,Normal,Flying,310,35,85,75,45,70,35,35,FALSE,1,Twin Bird Pokémon,190,5120,1000000,1.4,39.2,50,"['Run Away', 'Early Bird', 'Tangled Feet']"
85,Dodrio,Dodorioドードリオ,Normal,Flying,460,60,110,100,70,70,60,60,FALSE,1,Triple Bird Pokémon,45,5120,1000000,1.8,85.2,50,"['Run Away', 'Early Bird', 'Tangled Feet']"
86,Seel,Pawouパウワウ,Water,,325,65,45,45,55,70,45,70,FALSE,1,Sea Lion Pokémon,190,5120,1000000,1.1,90,50,"['Thick Fat', 'Hydration', 'Ice Body']"
87,Dewgong,Jugonジュゴン,Water,Ice,475,90,70,70,80,70,70,95,FALSE,1,Sea Lion Pokémon,75,5120,1000000,1.7,120,50,"['Thick Fat', 'Hydration', 'Ice Body']"
88,Grimer,Betbeterベトベター,Poison,,325,80,80,25,50,70,40,50,FALSE,1,Sludge Pokémon,190,5120,1000000,,,50,"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']"
89,Muk,Betbetonベトベトン,Poison,,500,105,105,50,75,70,65,100,FALSE,1,Sludge Pokémon,75,5120,1000000,,,50,"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']"
90,Shellder,Shellderシェルダー,Water,,305,30,65,40,100,70,45,25,FALSE,1,Bivalve Pokémon,190,5120,1250000,0.3,4,50,"['Shell Armor', 'Skill Link', 'Overcoat']"
91,Cloyster,Parshenパルシェン,Water,Ice,525,50,95,70,180,70,85,45,FALSE,1,Bivalve Pokémon,60,5120,1250000,1.5,132.5,50,"['Shell Armor', 'Skill Link', 'Overcoat']"
92,Gastly,Ghosゴース,Ghost,Poison,310,30,35,80,30,70,100,35,FALSE,1,Gas Pokémon,190,5120,1059860,1.3,0.1,50,['Levitate']
93,Haunter,Ghostゴースト,Ghost,Poison,405,45,50,95,45,70,115,55,FALSE,1,Gas Pokémon,90,5120,1059860,1.6,0.1,50,['Levitate']
94,Gengar,Gangarゲンガー,Ghost,Poison,500,60,65,110,60,70,130,75,FALSE,1,Shadow Pokémon,45,5120,1059860,1.5,40.5,50,['Cursed Body']
95,Onix,Iwarkイワーク,Rock,Ground,385,35,45,70,160,70,30,45,FALSE,1,Rock Snake Pokémon,45,6400,1000000,8.8,210,50,"['Rock Head', 'Sturdy', 'Weak Armor']"
96,Drowzee,Sleepeスリープ,Psychic,,328,60,48,42,45,70,43,90,FALSE,1,Hypnosis Pokémon,190,5120,1000000,1,32.4,50,"['Insomnia', 'Forewarn', 'Inner Focus']"
97,Hypno,Sleeperスリーパー,Psychic,,483,85,73,67,70,70,73,115,FALSE,1,Hypnosis Pokémon,75,5120,1000000,1.6,75.6,50,"['Insomnia', 'Forewarn', 'Inner Focus']"
98,Krabby,Crabクラブ,Water,,325,30,105,50,90,70,25,25,FALSE,1,River Crab Pokémon,225,5120,1000000,0.4,6.5,50,"['Hyper Cutter', 'Shell Armor', 'Sheer Force']"
99,Kingler,Kinglerキングラー,Water,,475,55,130,75,115,70,50,50,FALSE,1,Pincer Pokémon,60,5120,1000000,1.3,60,50,"['Hyper Cutter', 'Shell Armor', 'Sheer Force']"
100,Voltorb,Biriridamaビリリダマ,Electric,,330,40,30,100,50,70,55,55,FALSE,1,Ball Pokémon,190,5120,1000000,0.5,10.4,,"['Soundproof', 'Static', 'Aftermath']"
101,Electrode,Marumineマルマイン,Electric,,480,60,50,140,70,70,80,80,FALSE,1,Ball Pokémon,60,5120,1000000,1.2,66.6,,"['Soundproof', 'Static', 'Aftermath']"
102,Exeggcute,Tamatamaタマタマ,Grass,Psychic,325,60,40,40,80,70,60,45,FALSE,1,Egg Pokémon,90,5120,1250000,0.4,2.5,50,"['Chlorophyll', 'Harvest']"
103,Exeggutor,Nassyナッシー,Grass,Psychic,520,95,95,55,85,70,125,65,FALSE,1,Coconut Pokémon,45,5120,1250000,,,50,"['Chlorophyll', 'Harvest', 'Frisk', 'Harvest']"
104,Cubone,Karakaraカラカラ,Ground,,320,50,50,35,95,70,40,50,FALSE,1,Lonely Pokémon,190,5120,1000000,0.4,6.5,50,"['Rock Head', 'Lightningrod', 'Battle Armor']"
105,Marowak,Garagaraガラガラ,Ground,,425,60,80,45,110,70,50,80,FALSE,1,Bone Keeper Pokémon,75,5120,1000000,,,50,"['Rock Head', 'Lightningrod', 'Battle Armor', 'Cursed Body', 'Lightningrod', 'Rock Head']"
106,Hitmonlee,Sawamularサワムラー,Fighting,,455,50,120,87,53,70,35,110,FALSE,1,Kicking Pokémon,45,6400,1000000,1.5,49.8,100,"['Limber', 'Reckless', 'Unburden']"
107,Hitmonchan,Ebiwalarエビワラー,Fighting,,455,50,105,76,79,70,35,110,FALSE,1,Punching Pokémon,45,6400,1000000,1.4,50.2,100,"['Keen Eye', 'Iron Fist', 'Inner Focus']"
108,Lickitung,Beroringaベロリンガ,Normal,,385,90,55,30,75,70,60,75,FALSE,1,Licking Pokémon,45,5120,1000000,1.2,65.5,50,"['Own Tempo', 'Oblivious', 'Cloud Nine']"
109,Koffing,Dogarsドガース,Poison,,340,40,65,35,95,70,60,45,FALSE,1,Poison Gas Pokémon,190,5120,1000000,0.6,1,50,['Levitate']
110,Weezing,Matadogasマタドガス,Poison,,490,65,90,60,120,70,85,70,FALSE,1,Poison Gas Pokémon,60,5120,1000000,1.2,9.5,50,['Levitate']
111,Rhyhorn,Sihornサイホーン,Ground,Rock,345,80,85,25,95,70,30,30,FALSE,1,Spikes Pokémon,120,5120,1250000,1,115,50,"['Lightningrod', 'Rock Head', 'Reckless']"
112,Rhydon,Sidonサイドン,Ground,Rock,485,105,130,40,120,70,45,45,FALSE,1,Drill Pokémon,60,5120,1250000,1.9,120,50,"['Lightningrod', 'Rock Head', 'Reckless']"
113,Chansey,Luckyラッキー,Normal,,450,250,5,50,5,140,35,105,FALSE,1,Egg Pokémon,30,10240,800000,1.1,34.6,0,"['Natural Cure', 'Serene Grace', 'Healer']"
114,Tangela,Monjaraモンジャラ,Grass,,435,65,55,60,115,70,100,40,FALSE,1,Vine Pokémon,45,5120,1000000,1,35,50,"['Chlorophyll', 'Leaf Guard', 'Regenerator']"
115,Kangaskhan,Garuraガルーラ,Normal,,490,105,95,90,80,70,40,80,FALSE,1,Parent Pokémon,45,5120,1000000,2.2,80,0,"['Early Bird', 'Scrappy', 'Inner Focus']"
116,Horsea,Tattuタッツー,Water,,295,30,40,60,70,70,70,25,FALSE,1,Dragon Pokémon,225,5120,1000000,0.4,8,50,"['Swift Swim', 'Sniper', 'Damp']"
117,Seadra,Seadraシードラ,Water,,440,55,65,85,95,70,95,45,FALSE,1,Dragon Pokémon,75,5120,1000000,1.2,25,50,"['Poison Point', 'Sniper', 'Damp']"
118,Goldeen,Tosakintoトサキント,Water,,320,45,67,63,60,70,35,50,FALSE,1,Goldfish Pokémon,225,5120,1000000,0.6,15,50,"['Swift Swim', 'Water Veil', 'Lightningrod']"
119,Seaking,Azumaoアズマオウ,Water,,450,80,92,68,65,70,65,80,FALSE,1,Goldfish Pokémon,60,5120,1000000,1.3,39,50,"['Swift Swim', 'Water Veil', 'Lightningrod']"
120,Staryu,Hitodemanヒトデマン,Water,,340,30,45,85,55,70,70,55,FALSE,1,Starshape Pokémon,225,5120,1250000,0.8,34.5,,"['Illuminate', 'Natural Cure', 'Analytic']"
121,Starmie,Starmieスターミー,Water,Psychic,520,60,75,115,85,70,100,85,FALSE,1,Mysterious Pokémon,60,5120,1250000,1.1,80,,"['Illuminate', 'Natural Cure', 'Analytic']"
122,Mr. Mime,Barrierdバリヤード,Psychic,Fairy,460,40,45,90,65,70,100,120,FALSE,1,Barrier Pokémon,45,6400,1000000,1.3,54.5,50,"['Soundproof', 'Filter', 'Technician']"
123,Scyther,Strikeストライク,Bug,Flying,500,70,110,105,80,70,55,80,FALSE,1,Mantis Pokémon,45,6400,1000000,1.5,56,50,"['Swarm', 'Technician', 'Steadfast']"
124,Jynx,Rougelaルージュラ,Ice,Psychic,455,65,50,95,35,70,115,95,FALSE,1,Humanshape Pokémon,45,6400,1000000,1.4,40.6,0,"['Oblivious', 'Forewarn', 'Dry Skin']"
125,Electabuzz,Elebooエレブー,Electric,,490,65,83,105,57,70,95,85,FALSE,1,Electric Pokémon,45,6400,1000000,1.1,30,75.4,"['Static', 'Vital Spirit']"
126,Magmar,Booberブーバー,Fire,,495,65,95,93,57,70,100,85,FALSE,1,Spitfire Pokémon,45,6400,1000000,1.3,44.5,75.4,"['Flame Body', 'Vital Spirit']"
127,Pinsir,Kailiosカイロス,Bug,,500,65,125,85,100,70,55,70,FALSE,1,Stagbeetle Pokémon,45,6400,1250000,1.5,55,50,"['Hyper Cutter', 'Mold Breaker', 'Moxie']"
128,Tauros,Kentaurosケンタロス,Normal,,490,75,100,110,95,70,40,70,FALSE,1,Wild Bull Pokémon,45,5120,1250000,1.4,88.4,100,"['Intimidate', 'Anger Point', 'Sheer Force']"
129,Magikarp,Koikingコイキング,Water,,200,20,10,80,55,70,15,20,FALSE,1,Fish Pokémon,255,1280,1250000,0.9,10,50,"['Swift Swim', 'Rattled']"
130,Gyarados,Gyaradosギャラドス,Water,Flying,540,95,125,81,79,70,60,100,FALSE,1,Atrocious Pokémon,45,1280,1250000,6.5,235,50,"['Intimidate', 'Moxie']"
131,Lapras,Laplaceラプラス,Water,Ice,535,130,85,60,80,70,85,95,FALSE,1,Transport Pokémon,45,10240,1250000,2.5,220,50,"['Water Absorb', 'Shell Armor', 'Hydration']"
132,Ditto,Metamonメタモン,Normal,,288,48,48,48,48,70,48,48,FALSE,1,Transform Pokémon,35,5120,1000000,0.3,4,,"['Limber', 'Imposter']"
133,Eevee,Eievuiイーブイ,Normal,,325,55,55,55,50,70,45,65,FALSE,1,Evolution Pokémon,45,8960,1000000,0.3,6.5,88.1,"['Run Away', 'Adaptability', 'Anticipation']"
134,Vaporeon,Showersシャワーズ,Water,,525,130,65,65,60,70,110,95,FALSE,1,Bubble Jet Pokémon,45,8960,1000000,1,29,88.1,"['Water Absorb', 'Hydration']"
135,Jolteon,Thundersサンダース,Electric,,525,65,65,130,60,70,110,95,FALSE,1,Lightning Pokémon,45,8960,1000000,0.8,24.5,88.1,"['Volt Absorb', 'Quick Feet']"
